emp_no,title,salary
11292,Senior Engineer,40000
11294,Senior Engineer,43768
11295,Senior Staff,66622
11296,Senior Engineer,40000
11301,Senior Staff,40000
11317,Senior Staff,40000
11319,Assistant Engineer,40000
11320,Senior Staff,45118
11322,Senior Engineer,43021
11324,Senior Engineer,54288
11325,Engineer,62458
11326,Senior Engineer,40000
11338,Senior Staff,82210
11339,Senior Engineer,40000
11340,Senior Engineer,48813
11343,Senior Engineer,43306
11347,Senior Engineer,41524
11349,Engineer,46356
11360,Senior Staff,63466
11365,Engineer,56463
11373,Senior Staff,45912
11376,Senior Staff,46964
11380,Senior Engineer,53345
11385,Engineer,40000
11386,Senior Engineer,47726
11393,Senior Engineer,40000
11396,Engineer,48918
11398,Senior Staff,44625
11401,Staff,52021
11404,Technique Leader,42907
11406,Senior Staff,71834
11410,Engineer,45665
11415,Engineer,40000
11417,Technique Leader,74114
11418,Senior Staff,40000
11420,Senior Staff,40000
11421,Senior Engineer,52416
11423,Staff,43947
11425,Senior Engineer,40000
11441,Senior Staff,67352
11446,Senior Engineer,40000
11449,Senior Engineer,61434
11451,Senior Engineer,61848
11452,Senior Staff,52083
11459,Senior Staff,40000
11460,Senior Engineer,45712
11469,Senior Engineer,44625
11474,Engineer,59016
11476,Staff,56449
11479,Staff,78157
11503,Senior Engineer,56928
11506,Staff,89747
11509,Senior Engineer,40000
11513,Senior Staff,82525
11515,Staff,70182
11518,Senior Staff,40000
11519,Senior Staff,61444
11523,Engineer,64203
11524,Senior Engineer,41081
11527,Staff,60212
11528,Technique Leader,44026
11531,Technique Leader,53370
11533,Technique Leader,40000
11537,Senior Staff,96023
11540,Senior Engineer,70043
11554,Staff,46065
11555,Senior Staff,40000
11567,Senior Staff,86261
11568,Senior Engineer,54673
11573,Senior Engineer,46194
11575,Engineer,50896
11577,Senior Engineer,40000
11581,Senior Engineer,46950
11587,Senior Engineer,40000
11589,Senior Engineer,58444
11595,Senior Staff,68224
11596,Staff,54076
11602,Senior Staff,58575
11603,Senior Staff,69180
11606,Senior Staff,40000
11607,Engineer,49584
11615,Senior Staff,46591
11616,Engineer,41900
11624,Senior Engineer,42001
11628,Senior Engineer,43966
11640,Senior Engineer,52520
11641,Senior Engineer,53327
11644,Assistant Engineer,80722
11646,Engineer,55411
11647,Senior Engineer,40000
11649,Technique Leader,40000
11660,Senior Staff,65758
11664,Senior Staff,70380
11667,Senior Staff,79814
11673,Technique Leader,40000
11676,Engineer,43310
11681,Senior Engineer,40000
11684,Senior Staff,68753
11690,Staff,44420
11693,Senior Engineer,70403
11696,Senior Staff,51633
11713,Senior Engineer,53387
11732,Senior Engineer,40000
11733,Senior Engineer,46092
11735,Senior Staff,40000
11736,Senior Engineer,44127
11737,Assistant Engineer,48832
11746,Senior Staff,55951
11748,Engineer,54491
11751,Senior Staff,40000
11756,Engineer,59493
11763,Engineer,40000
11764,Senior Engineer,64875
11765,Senior Staff,40000
11769,Senior Staff,40000
11770,Senior Engineer,40000
11772,Engineer,61295
11774,Engineer,40000
11778,Senior Engineer,40000
11779,Staff,40000
11791,Senior Engineer,40000
11797,Senior Staff,88050
11801,Senior Staff,67265
11807,Technique Leader,40000
11810,Senior Engineer,41256
11811,Senior Staff,52695
11817,Senior Staff,50638
11822,Staff,67396
11823,Senior Engineer,72637
11829,Assistant Engineer,40000
11832,Engineer,40000
11836,Senior Staff,40000
11841,Staff,90296
11842,Senior Staff,40000
11844,Senior Engineer,78049
11846,Senior Engineer,53448
11853,Senior Staff,61941
11857,Senior Staff,94805
11862,Senior Engineer,46011
11864,Staff,52517
11868,Engineer,48349
11869,Engineer,62968
11871,Senior Engineer,67424
11872,Senior Staff,43159
11876,Senior Engineer,45372
11881,Senior Staff,76541
11888,Senior Staff,53720
11894,Senior Engineer,56198
11896,Technique Leader,40000
11897,Senior Staff,80049
11906,Engineer,81324
11911,Senior Engineer,40000
11915,Senior Engineer,58042
11917,Engineer,40000
11926,Engineer,41612
11931,Senior Staff,73369
11933,Senior Engineer,56130
11938,Staff,40000
11940,Assistant Engineer,60193
11944,Senior Engineer,52061
11945,Staff,53056
11948,Senior Engineer,49929
11949,Technique Leader,40000
11951,Senior Engineer,40000
11965,Engineer,57709
11972,Senior Staff,52908
11980,Staff,58241
11983,Senior Engineer,40000
11989,Technique Leader,40000
11993,Senior Staff,56505
11994,Senior Staff,49761
12007,Senior Engineer,40000
12011,Senior Staff,85833
12015,Staff,42853
12021,Senior Engineer,40000
12023,Technique Leader,40000
12024,Staff,65580
12028,Senior Engineer,51314
12030,Staff,40000
12034,Staff,40148
12036,Senior Staff,67143
12037,Senior Staff,47805
12040,Senior Staff,64813
12043,Staff,49009
12044,Senior Engineer,40000
12047,Assistant Engineer,52051
12050,Engineer,46704
12053,Senior Engineer,48319
12054,Staff,67400
12060,Technique Leader,40000
12062,Senior Staff,44199
12063,Senior Engineer,56022
12069,Senior Engineer,51928
12070,Technique Leader,50233
12076,Senior Staff,75381
12080,Senior Staff,47946
12082,Senior Staff,72118
12089,Senior Staff,46288
12090,Engineer,46269
12091,Senior Engineer,40000
12092,Senior Staff,40000
12093,Senior Engineer,40000
12094,Senior Staff,44788
12099,Senior Staff,104610
12102,Staff,90853
12112,Senior Staff,76538
12114,Staff,40000
12122,Senior Engineer,46398
12123,Senior Staff,64879
12125,Engineer,41215
12138,Engineer,40000
12140,Senior Staff,40000
12149,Senior Staff,109934
12159,Senior Engineer,61210
12160,Senior Staff,60391
12164,Engineer,43366
12165,Senior Engineer,41951
12168,Senior Staff,40000
12172,Senior Staff,40000
12174,Senior Engineer,40000
12183,Engineer,40000
12186,Senior Staff,70221
12190,Senior Engineer,40000
12191,Engineer,45307
12192,Senior Engineer,41625
12205,Senior Engineer,40000
12206,Senior Engineer,40000
12210,Senior Staff,40000
12213,Senior Staff,79834
12216,Engineer,40000
12218,Senior Engineer,40000
12219,Senior Staff,57507
12221,Senior Engineer,56736
12222,Senior Staff,55840
12223,Senior Engineer,54459
12230,Engineer,53692
12231,Senior Engineer,40000
12235,Staff,100755
12242,Engineer,46911
12247,Technique Leader,59183
12249,Senior Engineer,70099
12250,Senior Engineer,61573
12256,Senior Staff,40000
12258,Senior Engineer,40748
12264,Engineer,51816
12269,Senior Engineer,40000
12270,Senior Staff,52840
12272,Senior Staff,43811
12273,Senior Staff,90736
12281,Senior Engineer,45417
12282,Engineer,40000
12291,Senior Staff,67506
12298,Senior Engineer,62015
12308,Senior Staff,58741
12311,Senior Engineer,40000
12316,Engineer,46261
12317,Staff,40000
12327,Senior Engineer,67449
12328,Staff,51299
12338,Staff,46270
12339,Staff,40000
12341,Senior Engineer,40000
12343,Senior Staff,52134
12355,Senior Engineer,70724
12364,Assistant Engineer,42337
12365,Senior Engineer,40000
12368,Senior Staff,45415
12373,Senior Staff,75986
12379,Technique Leader,43508
12381,Senior Staff,42211
12388,Senior Engineer,40000
12394,Engineer,40000
12395,Senior Staff,66909
12399,Senior Staff,85582
12411,Senior Staff,97610
12413,Senior Engineer,53179
12417,Senior Engineer,67342
12421,Senior Engineer,52691
12422,Senior Staff,71376
12426,Technique Leader,40000
12427,Senior Staff,40000
12434,Engineer,40000
12438,Senior Staff,109440
12450,Senior Engineer,40000
12452,Engineer,40000
12454,Staff,41347
12464,Staff,50448
12466,Senior Staff,65175
12468,Staff,41627
12475,Senior Engineer,40000
12480,Staff,62415
12487,Senior Staff,40000
12488,Senior Engineer,40000
12489,Senior Engineer,63306
12490,Senior Engineer,40000
12492,Senior Engineer,59589
12497,Senior Staff,81191
12499,Senior Staff,69706
12501,Senior Staff,76082
12502,Senior Engineer,40000
12504,Engineer,40000
12506,Engineer,50229
12509,Senior Staff,40000
12514,Engineer,54241
12515,Senior Engineer,50655
12520,Engineer,40000
12522,Technique Leader,47733
12523,Senior Staff,94760
12524,Engineer,42824
12528,Senior Staff,40000
12534,Senior Engineer,66715
12537,Senior Staff,85107
12540,Senior Staff,40000
12541,Senior Staff,93105
12542,Senior Staff,44176
12551,Senior Engineer,40000
12553,Senior Staff,40000
12555,Assistant Engineer,68051
12557,Senior Engineer,41840
12558,Senior Engineer,40000
12563,Engineer,40000
12564,Staff,76772
12571,Engineer,53163
12574,Engineer,66284
12586,Senior Engineer,50972
12588,Senior Engineer,49125
12589,Senior Engineer,59441
12590,Senior Staff,72208
12596,Senior Staff,40000
12597,Senior Staff,63589
12601,Senior Engineer,41714
12603,Staff,43168
12608,Senior Staff,40000
12612,Staff,92187
12617,Senior Staff,55663
12623,Senior Staff,79700
12626,Senior Engineer,61375
12630,Senior Staff,41052
12635,Senior Engineer,40000
12636,Senior Staff,40000
12638,Engineer,56677
12639,Senior Engineer,40000
12642,Senior Staff,68271
12644,Senior Engineer,40000
12645,Staff,63135
12651,Senior Staff,75150
12656,Senior Staff,70030
12662,Engineer,69016
12663,Technique Leader,49966
12664,Staff,40000
12666,Engineer,40000
12670,Engineer,45281
12672,Senior Engineer,54041
12680,Staff,46321
12687,Staff,78376
12689,Senior Engineer,59689
12691,Senior Engineer,48493
12697,Senior Staff,40000
12707,Staff,53664
12709,Senior Engineer,45510
12715,Staff,40000
12717,Staff,53194
12722,Senior Staff,62325
12725,Senior Staff,40000
12726,Senior Engineer,61177
12729,Senior Engineer,51796
12731,Senior Staff,40000
12732,Senior Staff,74436
12734,Senior Engineer,40000
12746,Senior Engineer,63044
12747,Technique Leader,40000
12748,Engineer,40000
12753,Senior Engineer,47071
12754,Senior Engineer,56137
12755,Senior Staff,40196
12761,Senior Staff,62465
12769,Engineer,40000
12770,Senior Staff,55103
12773,Senior Engineer,65556
12774,Engineer,40000
12777,Senior Staff,50672
12785,Senior Engineer,68680
12786,Engineer,51030
12789,Engineer,41358
12790,Senior Staff,87760
12795,Senior Staff,56969
12796,Senior Engineer,40000
12798,Senior Staff,81145
12799,Senior Staff,42816
12803,Senior Staff,91789
12807,Senior Engineer,48331
12810,Technique Leader,46737
12815,Senior Staff,65073
12819,Senior Engineer,48455
12821,Engineer,46727
12828,Staff,85769
12829,Senior Engineer,51521
12840,Engineer,40000
12843,Senior Engineer,40000
12848,Engineer,40000
12851,Staff,64013
12855,Senior Staff,40000
12857,Senior Engineer,52646
12863,Senior Engineer,62803
12865,Senior Staff,64679
12868,Senior Engineer,40000
12869,Staff,61803
12872,Senior Staff,56040
12879,Senior Engineer,40000
12881,Staff,66390
12885,Senior Engineer,40000
12887,Senior Engineer,40000
12889,Engineer,58901
12890,Senior Staff,66803
12893,Senior Staff,50803
12895,Senior Engineer,40000
12899,Senior Staff,40000
12905,Senior Engineer,58659
12910,Staff,69301
12915,Senior Staff,55723
12923,Senior Engineer,40000
12926,Senior Staff,68314
12934,Senior Engineer,47274
12936,Technique Leader,64450
12940,Senior Engineer,49760
12941,Senior Engineer,67069
12944,Senior Staff,40000
12949,Senior Engineer,40000
12960,Engineer,40000
12962,Senior Staff,73680
12969,Senior Staff,59876
12977,Senior Engineer,61326
12982,Senior Engineer,40000
12983,Staff,57252
12986,Senior Engineer,50021
12987,Senior Engineer,56823
13000,Engineer,40000
13002,Senior Engineer,40935
13004,Senior Engineer,40000
13008,Engineer,40000
13011,Technique Leader,51216
13013,Engineer,40000
13027,Technique Leader,65940
13030,Senior Staff,51770
13034,Senior Staff,77736
13046,Senior Staff,40000
13047,Senior Engineer,52323
13048,Senior Engineer,40000
13052,Senior Engineer,42693
13054,Senior Engineer,40000
13065,Senior Staff,58147
13067,Senior Engineer,40000
13075,Senior Staff,40000
13076,Engineer,50582
13084,Senior Staff,64106
13086,Senior Staff,40000
13093,Staff,75658
13096,Senior Engineer,52544
13103,Senior Engineer,40000
13108,Senior Staff,40000
13110,Senior Engineer,57941
13124,Senior Staff,73785
13126,Senior Engineer,40000
13133,Senior Staff,67777
13134,Senior Engineer,51227
13140,Staff,40000
13143,Technique Leader,40000
13144,Senior Staff,52825
13146,Senior Staff,61398
13147,Senior Staff,77429
13150,Technique Leader,40000
13156,Senior Engineer,48285
13159,Staff,54536
13161,Senior Engineer,49733
13165,Senior Engineer,42796
13168,Senior Engineer,49210
13170,Senior Staff,49012
13171,Senior Engineer,40000
13173,Senior Staff,46354
13175,Senior Engineer,65572
13179,Staff,90233
13182,Engineer,46832
13186,Senior Staff,93138
13189,Staff,40000
13192,Technique Leader,43986
13200,Senior Engineer,50821
13202,Senior Staff,51915
13203,Senior Staff,40000
13204,Assistant Engineer,45177
13206,Staff,44383
13210,Senior Staff,83961
13213,Senior Staff,61131
13216,Staff,40000
13227,Staff,88669
13232,Technique Leader,40000
13233,Senior Engineer,49414
13235,Engineer,57427
13238,Senior Staff,40000
13240,Senior Engineer,49018
13246,Staff,83156
13250,Senior Engineer,47829
13252,Staff,55454
13260,Technique Leader,40000
13263,Senior Staff,61281
13272,Senior Staff,40000
13276,Senior Staff,65836
13282,Senior Staff,45990
13288,Senior Staff,40000
13290,Staff,40000
13291,Senior Engineer,54720
13294,Staff,57991
13302,Senior Engineer,40000
13303,Staff,63524
13309,Senior Engineer,40000
13312,Engineer,53718
13315,Senior Engineer,40000
13320,Senior Engineer,47422
13332,Senior Engineer,40000
13333,Engineer,50997
13341,Senior Staff,40000
13342,Engineer,59327
13343,Senior Staff,40000
13346,Senior Engineer,40000
13347,Senior Engineer,79839
13349,Senior Staff,66066
13357,Engineer,40000
13361,Staff,40000
13368,Staff,52872
13371,Senior Engineer,40000
13373,Senior Staff,82749
13374,Senior Engineer,40000
13378,Technique Leader,64833
13379,Senior Staff,52620
13385,Senior Staff,40000
13386,Technique Leader,91420
13388,Technique Leader,52597
13389,Senior Staff,40000
13390,Engineer,40000
13392,Senior Staff,69221
13394,Senior Staff,44631
13396,Senior Staff,40000
13402,Engineer,40000
13405,Senior Staff,60799
13407,Senior Engineer,60348
13408,Senior Engineer,52479
13412,Staff,56217
13415,Technique Leader,61838
13416,Senior Engineer,40000
13417,Senior Staff,53074
13422,Senior Engineer,59466
13427,Staff,50468
13439,Engineer,49283
13442,Senior Staff,40000
13443,Senior Engineer,40000
13445,Engineer,53194
13451,Senior Staff,40000
13453,Senior Engineer,52593
13456,Senior Engineer,40000
13457,Senior Engineer,40812
13458,Senior Engineer,41375
13460,Senior Engineer,40000
13463,Senior Engineer,40000
13465,Engineer,49821
13467,Senior Engineer,56977
13472,Engineer,40000
13475,Senior Staff,55431
13493,Senior Engineer,40000
13500,Senior Engineer,57581
13504,Engineer,41895
13505,Staff,46130
13520,Senior Engineer,46435
13522,Senior Staff,70884
13523,Staff,45333
13524,Senior Staff,52849
13535,Senior Engineer,40000
13539,Senior Engineer,54246
13540,Staff,82488
13544,Senior Staff,91559
13546,Senior Engineer,50295
13549,Technique Leader,40000
13552,Senior Staff,73346
13554,Senior Staff,49930
13571,Senior Engineer,61100
13575,Senior Engineer,73636
13576,Senior Staff,73022
13586,Senior Engineer,40000
13591,Assistant Engineer,40000
13596,Senior Engineer,57320
13598,Engineer,76264
13600,Staff,40000
13605,Senior Staff,70404
13612,Engineer,40000
13617,Engineer,40000
13621,Engineer,73192
13624,Senior Staff,40000
13629,Senior Engineer,40000
13642,Senior Staff,45456
13643,Senior Engineer,64841
13648,Technique Leader,47723
13653,Senior Staff,53242
13662,Senior Staff,66158
13670,Senior Engineer,40000
13673,Senior Staff,50560
13680,Staff,46968
13683,Senior Engineer,40000
13685,Senior Engineer,48322
13697,Technique Leader,40000
13704,Senior Engineer,40000
13708,Senior Engineer,48399
13713,Senior Staff,56608
13719,Senior Engineer,49098
13721,Senior Staff,64754
13727,Staff,50798
13730,Senior Staff,53832
13738,Engineer,48349
13744,Senior Engineer,58206
13745,Senior Engineer,40000
13758,Senior Staff,66365
13762,Senior Staff,88048
13766,Senior Staff,43748
13769,Senior Staff,61025
13772,Engineer,57288
13775,Senior Staff,70161
13776,Senior Staff,53362
13786,Senior Staff,74494
13787,Senior Engineer,40000
13792,Senior Staff,59127
13796,Engineer,50962
13797,Senior Staff,54537
13798,Senior Engineer,41101
13799,Technique Leader,40000
13800,Technique Leader,40000
13809,Senior Staff,43735
13811,Senior Engineer,52175
13815,Senior Engineer,40000
13825,Technique Leader,54704
13831,Technique Leader,40000
13838,Senior Staff,40000
13841,Technique Leader,52277
13842,Senior Staff,40000
13846,Senior Staff,61097
13847,Technique Leader,40599
13853,Senior Staff,61615
13856,Senior Staff,77934
13857,Senior Engineer,51929
13859,Senior Engineer,40000
13861,Engineer,42013
13863,Senior Staff,84893
13870,Engineer,40000
13875,Senior Engineer,40000
13884,Engineer,44785
13888,Engineer,40000
13894,Engineer,48958
13897,Senior Engineer,48476
13899,Engineer,40000
13904,Senior Engineer,73885
13911,Staff,64188
13913,Technique Leader,42772
13919,Engineer,51486
13922,Senior Staff,80951
13924,Senior Engineer,40000
13928,Senior Staff,76677
13934,Senior Engineer,46507
13936,Staff,47292
13942,Technique Leader,40000
13943,Senior Staff,87119
13944,Senior Engineer,54309
13946,Senior Engineer,52426
13948,Staff,42837
13951,Senior Staff,82054
13960,Senior Staff,43204
13962,Senior Engineer,67965
13966,Senior Staff,40000
13969,Technique Leader,60392
13972,Technique Leader,49895
13987,Technique Leader,49919
13990,Engineer,52723
13992,Senior Staff,81318
13993,Senior Staff,69962
13999,Senior Staff,40000
14001,Senior Staff,40000
14005,Technique Leader,40000
14011,Engineer,50800
14012,Senior Engineer,40000
14015,Senior Engineer,63084
14024,Senior Engineer,49470
14030,Technique Leader,51275
14031,Engineer,58367
14034,Senior Staff,69700
14038,Senior Engineer,62982
14039,Assistant Engineer,55689
14041,Senior Staff,63235
14049,Senior Engineer,40000
14051,Senior Engineer,40000
14058,Senior Engineer,56244
14066,Staff,69020
14067,Senior Engineer,44669
14074,Engineer,44894
14084,Engineer,40000
14086,Senior Staff,68537
14088,Senior Staff,44821
14093,Technique Leader,44420
14105,Staff,76767
14107,Senior Staff,82396
14111,Senior Staff,52696
14112,Staff,61757
14118,Senior Staff,46248
14122,Senior Staff,62343
14128,Senior Engineer,47537
14130,Staff,40000
14140,Senior Staff,64727
14146,Engineer,40000
14147,Engineer,40000
14148,Senior Engineer,40000
14150,Senior Staff,40000
14159,Engineer,64495
14165,Senior Staff,40000
14167,Senior Engineer,40000
14168,Technique Leader,40000
14172,Senior Staff,61519
14182,Senior Staff,80254
14191,Senior Engineer,40155
14199,Senior Engineer,40000
14200,Senior Staff,52225
14209,Senior Staff,40000
14214,Assistant Engineer,49797
14217,Senior Staff,40000
14220,Senior Engineer,68017
14232,Senior Engineer,50568
14233,Senior Staff,40000
14234,Staff,59812
14236,Senior Staff,40000
14237,Senior Engineer,57219
14241,Senior Staff,55280
14242,Senior Staff,40000
14244,Senior Engineer,61406
14245,Senior Engineer,40000
14246,Senior Engineer,47343
14248,Senior Engineer,40000
14251,Senior Staff,40000
14252,Staff,40000
14253,Senior Staff,40000
14257,Staff,40000
14259,Senior Engineer,42593
14273,Staff,64222
14277,Technique Leader,40000
14281,Senior Engineer,47391
14285,Senior Staff,53317
14290,Senior Engineer,78736
14292,Senior Staff,41846
14298,Senior Engineer,40000
14302,Engineer,45483
14310,Senior Staff,40000
14320,Senior Engineer,40000
14321,Senior Staff,83644
14322,Engineer,50363
14323,Staff,40000
14326,Senior Engineer,51046
14327,Senior Engineer,44147
14329,Senior Engineer,46371
14330,Senior Engineer,46376
14331,Senior Engineer,40000
14332,Senior Engineer,40000
14335,Technique Leader,54734
14340,Senior Engineer,42858
14342,Senior Engineer,56327
14344,Technique Leader,41979
14354,Senior Staff,40000
14360,Senior Staff,43476
14364,Senior Staff,56970
14369,Senior Engineer,43031
14370,Senior Staff,41248
14372,Engineer,57667
14382,Senior Staff,66995
14384,Technique Leader,58260
14385,Engineer,40000
14388,Senior Staff,52022
14394,Senior Staff,40000
14398,Staff,41978
14406,Senior Engineer,74442
14411,Technique Leader,58151
14418,Engineer,61764
14422,Senior Engineer,59001
14424,Senior Engineer,40000
14434,Technique Leader,40000
14436,Engineer,65830
14439,Senior Engineer,80654
14455,Senior Staff,63969
